ID,Дата проведения матча,Команда Силы Света,Команда Силы Тьмы,Победитель,Победившая сторона
26173,2022-04-29,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
26174,2021-07-18,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
26175,2020-07-06,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
26176,2020-04-05,Tundra Esports,Azure Ray,Tundra Esports,Силы света
26177,2021-01-05,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
26178,2022-07-27,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
26179,2020-08-10,Parivision,Tundra Esports,Parivision,Силы света
26180,2021-10-11,BetBoom Team,Parivision,Parivision,Силы тьмы
26181,2023-01-10,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26182,2023-12-23,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
26183,2023-07-11,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
26184,2021-02-08,Team Spirit,Parivision,Team Spirit,Силы света
26185,2021-03-21,Xtreme Gaming,Team Liquid,Team Liquid,Силы тьмы
26186,2020-02-01,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
26187,2021-03-27,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26188,2021-06-20,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
26189,2021-04-15,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26190,2020-01-01,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
26191,2022-08-02,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
26192,2021-12-07,Heroic,Team Liquid,Team Liquid,Силы тьмы
26193,2021-02-13,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26194,2020-04-30,Tundra Esports,Team Liquid,Tundra Esports,Силы света
26195,2022-11-22,Team Liquid,Team Spirit,Team Spirit,Силы тьмы
26196,2021-07-15,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
26197,2020-10-24,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26198,2021-05-29,BetBoom Team,Heroic,BetBoom Team,Силы света
26199,2023-06-18,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
26200,2021-05-03,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
26201,2023-07-18,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26202,2021-12-23,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
26203,2021-10-25,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26204,2023-10-25,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
26205,2021-12-20,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
26206,2020-12-26,Team Spirit,BetBoom Team,Team Spirit,Силы света
26207,2022-09-16,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
26208,2022-08-22,Tundra Esports,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26209,2023-04-24,Team Spirit,Heroic,Heroic,Силы тьмы
26210,2020-05-25,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
26211,2021-08-23,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
26212,2021-08-20,Team Spirit,Parivision,Parivision,Силы тьмы
26213,2023-11-03,Azure Ray,Heroic,Heroic,Силы тьмы
26214,2020-11-24,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26215,2020-12-10,Parivision,Azure Ray,Azure Ray,Силы тьмы
26216,2021-05-15,Heroic,Parivision,Heroic,Силы света
26217,2021-04-01,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
26218,2022-08-28,Tundra Esports,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26219,2020-11-07,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
26220,2020-05-17,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
26221,2021-12-26,Heroic,Team Liquid,Team Liquid,Силы тьмы
26222,2020-09-07,Shopify Rebellion,Parivision,Parivision,Силы тьмы
26223,2020-07-07,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
26224,2021-07-10,Parivision,Team Liquid,Team Liquid,Силы тьмы
26225,2020-05-23,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
26226,2020-07-01,Parivision,Azure Ray,Azure Ray,Силы тьмы
26227,2023-08-09,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
26228,2020-10-25,Shopify Rebellion,Heroic,Heroic,Силы тьмы
26229,2020-07-13,Parivision,Team Spirit,Team Spirit,Силы тьмы
26230,2022-11-08,BetBoom Team,Parivision,Parivision,Силы тьмы
26231,2020-10-28,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
26232,2021-01-14,Parivision,Heroic,Parivision,Силы света
26233,2022-12-02,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
26234,2022-10-03,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26235,2022-06-04,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
26236,2021-02-28,Heroic,Xtreme Gaming,Heroic,Силы света
26237,2020-08-02,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
26238,2020-02-10,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26239,2023-05-11,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
26240,2020-03-03,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26241,2021-03-29,Azure Ray,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26242,2022-09-25,Parivision,Heroic,Parivision,Силы света
26243,2020-05-01,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
26244,2023-08-31,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
26245,2021-03-20,Tundra Esports,Parivision,Tundra Esports,Силы света
26246,2022-05-24,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
26247,2020-10-04,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
26248,2020-10-23,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
26249,2023-12-13,Parivision,Team Spirit,Team Spirit,Силы тьмы
26250,2022-10-10,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
26251,2023-03-14,Team Liquid,Parivision,Parivision,Силы тьмы
26252,2022-03-14,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
26253,2022-09-05,BetBoom Team,Heroic,BetBoom Team,Силы света
26254,2021-09-20,Parivision,Gaimin Gladiators,Parivision,Силы света
26255,2021-12-03,Xtreme Gaming,Parivision,Parivision,Силы тьмы
26256,2023-01-10,Heroic,Gaimin Gladiators,Heroic,Силы света
26257,2022-11-16,Team Spirit,Parivision,Team Spirit,Силы света
26258,2023-05-06,Parivision,Heroic,Parivision,Силы света
26259,2020-11-01,Heroic,Team Spirit,Heroic,Силы света
26260,2021-06-20,Team Spirit,Team Liquid,Team Spirit,Силы света
26261,2021-06-08,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
26262,2022-03-09,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
26263,2023-03-11,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
26264,2020-04-07,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
26265,2022-10-06,Team Liquid,Azure Ray,Team Liquid,Силы света
26266,2023-12-19,Azure Ray,Heroic,Heroic,Силы тьмы
26267,2022-11-16,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26268,2022-12-27,Heroic,Shopify Rebellion,Heroic,Силы света
26269,2023-06-04,Parivision,Gaimin Gladiators,Parivision,Силы света
26270,2020-01-08,Heroic,Team Liquid,Team Liquid,Силы тьмы
26271,2021-08-13,Team Spirit,Parivision,Team Spirit,Силы света
26272,2022-03-27,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
26273,2021-06-30,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
26274,2021-07-26,Azure Ray,Parivision,Azure Ray,Силы света
26275,2023-11-17,Gaimin Gladiators,Team Liquid,Team Liquid,Силы тьмы
26276,2022-11-24,Heroic,Shopify Rebellion,Heroic,Силы света
26277,2022-05-03,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
26278,2020-02-12,Tundra Esports,Parivision,Parivision,Силы тьмы
26279,2023-04-22,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
26280,2021-08-15,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
26281,2022-05-24,BetBoom Team,Team Spirit,BetBoom Team,Силы света
26282,2021-12-28,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26283,2022-10-27,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
26284,2021-11-08,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
26285,2023-11-22,Heroic,Shopify Rebellion,Heroic,Силы света
26286,2022-05-11,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
26287,2023-03-28,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
26288,2023-11-23,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26289,2021-06-11,Team Spirit,Tundra Esports,Team Spirit,Силы света
26290,2023-06-17,Parivision,Azure Ray,Azure Ray,Силы тьмы
26291,2021-11-28,Shopify Rebellion,Heroic,Heroic,Силы тьмы
26292,2020-04-10,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26293,2021-03-17,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
26294,2021-09-10,BetBoom Team,Team Liquid,BetBoom Team,Силы света
26295,2023-11-21,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26296,2021-05-06,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
26297,2021-10-04,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
26298,2023-05-21,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
26299,2022-09-13,Team Spirit,Parivision,Team Spirit,Силы света
26300,2022-02-05,BetBoom Team,Parivision,Parivision,Силы тьмы
26301,2023-02-02,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26302,2022-04-29,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
26303,2023-12-18,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
26304,2021-07-04,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
26305,2022-02-22,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
26306,2022-03-28,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
26307,2021-10-29,BetBoom Team,Parivision,BetBoom Team,Силы света
26308,2022-10-17,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
26309,2020-07-08,Tundra Esports,Heroic,Tundra Esports,Силы света
26310,2023-10-11,Parivision,Heroic,Parivision,Силы света
26311,2020-03-06,Heroic,Xtreme Gaming,Heroic,Силы света
26312,2020-04-25,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
26313,2022-06-13,Heroic,Team Liquid,Team Liquid,Силы тьмы
26314,2020-02-26,Xtreme Gaming,Gaimin Gladiators,Xtreme Gaming,Силы света
26315,2023-09-15,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
26316,2022-10-20,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
26317,2021-11-15,Team Liquid,Azure Ray,Team Liquid,Силы света
26318,2022-05-17,Tundra Esports,Heroic,Tundra Esports,Силы света
26319,2021-11-06,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
26320,2021-10-18,Gaimin Gladiators,BetBoom Team,BetBoom Team,Силы тьмы
26321,2020-04-05,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
26322,2021-04-06,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
26323,2023-12-28,Team Spirit,BetBoom Team,Team Spirit,Силы света
26324,2022-06-16,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
26325,2020-01-31,Shopify Rebellion,BetBoom Team,BetBoom Team,Силы тьмы
26326,2020-02-09,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26327,2022-12-17,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
26328,2022-01-09,BetBoom Team,Team Liquid,BetBoom Team,Силы света
26329,2020-07-03,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
26330,2020-02-16,Tundra Esports,Heroic,Tundra Esports,Силы света
26331,2021-06-11,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26332,2021-04-30,BetBoom Team,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26333,2023-06-01,Tundra Esports,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26334,2021-11-20,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
26335,2021-03-24,Azure Ray,Team Liquid,Azure Ray,Силы света
26336,2020-02-20,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
26337,2023-02-07,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
26338,2021-07-29,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
26339,2022-09-08,Heroic,Shopify Rebellion,Heroic,Силы света
26340,2022-07-11,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
26341,2023-06-16,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
26342,2022-08-26,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
26343,2021-06-14,Gaimin Gladiators,Team Liquid,Team Liquid,Силы тьмы
26344,2023-09-14,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
26345,2020-06-26,Team Spirit,Azure Ray,Team Spirit,Силы света
26346,2022-03-28,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
26347,2021-04-30,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
26348,2023-10-18,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
26349,2021-08-15,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
26350,2022-12-23,Heroic,BetBoom Team,Heroic,Силы света
26351,2020-05-10,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
26352,2022-08-06,Team Spirit,Heroic,Heroic,Силы тьмы
26353,2021-04-12,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26354,2022-04-06,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
26355,2020-08-20,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
26356,2023-07-20,Azure Ray,Parivision,Azure Ray,Силы света
26357,2023-01-23,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
26358,2020-02-20,Tundra Esports,Heroic,Tundra Esports,Силы света
26359,2021-12-25,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
26360,2022-02-01,Team Liquid,Team Spirit,Team Liquid,Силы света
26361,2020-06-09,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
26362,2021-06-15,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
26363,2022-09-22,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
26364,2021-09-14,Parivision,Gaimin Gladiators,Parivision,Силы света
26365,2022-07-15,Tundra Esports,Parivision,Parivision,Силы тьмы
26366,2023-09-05,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
26367,2021-08-06,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
26368,2020-01-19,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
26369,2021-07-01,Team Spirit,BetBoom Team,Team Spirit,Силы света
26370,2022-01-19,BetBoom Team,Heroic,Heroic,Силы тьмы
26371,2023-10-28,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26372,2022-01-22,Parivision,Team Spirit,Parivision,Силы света
26373,2021-11-13,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
26374,2023-12-22,Team Spirit,Azure Ray,Team Spirit,Силы света
26375,2020-12-20,Azure Ray,Tundra Esports,Azure Ray,Силы света
26376,2021-02-26,Team Spirit,Shopify Rebellion,Team Spirit,Силы света
26377,2020-12-20,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
26378,2020-04-11,BetBoom Team,Heroic,Heroic,Силы тьмы
26379,2023-10-27,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
26380,2020-04-23,Xtreme Gaming,Team Spirit,Team Spirit,Силы тьмы
26381,2020-02-05,Azure Ray,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26382,2022-06-06,Azure Ray,Parivision,Parivision,Силы тьмы
26383,2020-06-20,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
26384,2020-07-01,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
26385,2023-08-15,Parivision,Tundra Esports,Parivision,Силы света
26386,2020-05-25,Heroic,Parivision,Heroic,Силы света
26387,2021-03-10,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
26388,2020-09-13,Parivision,Shopify Rebellion,Parivision,Силы света
26389,2023-08-24,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
26390,2022-08-09,Xtreme Gaming,Parivision,Parivision,Силы тьмы
26391,2022-07-25,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
26392,2021-03-11,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
26393,2020-07-15,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
26394,2021-04-13,Parivision,Heroic,Heroic,Силы тьмы
26395,2023-11-25,Tundra Esports,Parivision,Parivision,Силы тьмы
26396,2020-10-07,Heroic,BetBoom Team,Heroic,Силы света
26397,2023-07-25,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
26398,2020-10-02,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
26399,2023-03-15,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
26400,2022-10-20,Parivision,Team Liquid,Parivision,Силы света
26401,2023-10-28,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26402,2023-07-04,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
26403,2021-11-03,Team Spirit,Parivision,Parivision,Силы тьмы
26404,2022-03-28,Gaimin Gladiators,Azure Ray,Gaimin Gladiators,Силы света
26405,2023-10-25,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26406,2021-11-13,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
26407,2022-03-12,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
26408,2022-12-14,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
26409,2023-11-08,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
26410,2021-09-28,Xtreme Gaming,Team Liquid,Team Liquid,Силы тьмы
26411,2022-06-15,Team Spirit,Parivision,Parivision,Силы тьмы
26412,2021-04-22,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
26413,2021-07-29,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26414,2022-08-07,Team Spirit,Heroic,Heroic,Силы тьмы
26415,2020-06-26,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
26416,2020-10-04,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
26417,2020-03-07,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
26418,2021-10-19,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
26419,2021-09-09,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
26420,2021-09-26,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
26421,2020-07-16,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
26422,2022-07-26,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
26423,2023-09-08,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
26424,2023-11-25,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
26425,2020-05-29,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
26426,2020-01-05,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
26427,2023-06-29,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26428,2023-01-08,Xtreme Gaming,Team Spirit,Team Spirit,Силы тьмы
26429,2021-03-07,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26430,2023-06-10,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
26431,2020-06-24,Xtreme Gaming,Parivision,Parivision,Силы тьмы
26432,2023-04-24,Tundra Esports,Parivision,Parivision,Силы тьмы
26433,2020-07-20,Tundra Esports,Team Spirit,Tundra Esports,Силы света
26434,2022-04-23,Parivision,Team Liquid,Team Liquid,Силы тьмы
26435,2022-12-10,Gaimin Gladiators,Parivision,Gaimin Gladiators,Силы света
26436,2023-04-28,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
26437,2023-03-05,Gaimin Gladiators,Parivision,Parivision,Силы тьмы
26438,2023-06-10,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
26439,2020-11-11,Parivision,Xtreme Gaming,Parivision,Силы света
26440,2023-01-09,BetBoom Team,Heroic,Heroic,Силы тьмы
26441,2023-01-02,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
26442,2021-08-23,Tundra Esports,Parivision,Tundra Esports,Силы света
26443,2020-02-09,BetBoom Team,Parivision,BetBoom Team,Силы света
26444,2020-10-21,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
26445,2021-06-22,Team Liquid,Parivision,Parivision,Силы тьмы
26446,2023-07-14,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26447,2022-02-01,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
26448,2020-02-12,Heroic,Team Liquid,Team Liquid,Силы тьмы
26449,2023-06-03,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
26450,2023-05-03,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
26451,2023-01-08,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
26452,2023-10-29,Xtreme Gaming,Parivision,Parivision,Силы тьмы
26453,2020-11-16,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
26454,2020-10-09,Heroic,Team Liquid,Team Liquid,Силы тьмы
26455,2023-12-11,Parivision,Team Spirit,Parivision,Силы света
26456,2023-09-30,Xtreme Gaming,Parivision,Parivision,Силы тьмы
26457,2023-04-25,Tundra Esports,Parivision,Tundra Esports,Силы света
26458,2020-06-14,Team Spirit,Parivision,Parivision,Силы тьмы
26459,2021-12-01,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26460,2021-02-11,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
26461,2020-11-03,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26462,2022-01-25,Team Spirit,Azure Ray,Team Spirit,Силы света
26463,2021-09-27,BetBoom Team,Team Liquid,BetBoom Team,Силы света
26464,2021-11-24,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
26465,2023-09-08,Azure Ray,Heroic,Azure Ray,Силы света
26466,2020-06-21,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
26467,2023-05-17,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26468,2023-03-11,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
26469,2020-08-06,BetBoom Team,Heroic,BetBoom Team,Силы света
26470,2020-03-07,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
26471,2022-05-02,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
26472,2022-09-22,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26473,2023-01-08,Team Liquid,Team Spirit,Team Spirit,Силы тьмы
26474,2023-04-10,Heroic,Parivision,Parivision,Силы тьмы
26475,2022-02-18,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
26476,2021-06-03,Parivision,Xtreme Gaming,Parivision,Силы света
26477,2021-12-21,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
26478,2023-08-13,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
26479,2020-04-18,Parivision,BetBoom Team,Parivision,Силы света
26480,2022-07-05,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
26481,2022-06-02,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26482,2022-06-25,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
26483,2021-12-16,Parivision,Team Spirit,Parivision,Силы света
26484,2023-02-05,Azure Ray,Heroic,Heroic,Силы тьмы
26485,2023-07-12,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
26486,2022-08-13,Xtreme Gaming,Parivision,Parivision,Силы тьмы
26487,2020-06-26,Team Liquid,Parivision,Parivision,Силы тьмы
26488,2023-11-19,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26489,2023-03-02,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
26490,2023-06-15,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
26491,2020-05-25,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
26492,2021-11-25,Tundra Esports,Team Spirit,Team Spirit,Силы тьмы
26493,2020-09-08,Tundra Esports,Xtreme Gaming,Tundra Esports,Силы света
26494,2021-01-25,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26495,2023-11-02,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
26496,2021-09-01,Team Spirit,Parivision,Team Spirit,Силы света
26497,2021-04-28,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
26498,2023-10-30,Parivision,Team Spirit,Team Spirit,Силы тьмы
26499,2022-03-07,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26500,2020-05-13,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
26501,2023-10-11,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
26502,2022-05-12,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
26503,2023-01-10,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
26504,2020-03-16,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
26505,2020-06-07,Tundra Esports,Parivision,Tundra Esports,Силы света
26506,2021-06-16,BetBoom Team,Team Spirit,BetBoom Team,Силы света
26507,2020-11-25,Heroic,Team Spirit,Heroic,Силы света
26508,2022-10-19,Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,Силы света
26509,2023-10-25,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
26510,2020-11-27,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26511,2022-03-14,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26512,2021-05-30,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
26513,2022-05-17,Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,Силы света
26514,2022-04-27,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
26515,2022-05-25,Parivision,Tundra Esports,Parivision,Силы света
26516,2022-03-08,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
26517,2023-03-25,Tundra Esports,Heroic,Tundra Esports,Силы света
26518,2023-05-28,Team Liquid,Heroic,Heroic,Силы тьмы
26519,2020-08-20,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
26520,2021-09-26,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
26521,2022-07-19,Team Liquid,Azure Ray,Team Liquid,Силы света
26522,2020-04-15,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
